Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
KINGSTON,1555011.26,761145.64,104.29878045415855,0.03800421472849504,112.5,78.5,43.31210191082803,0.11086365248925854,61,46.0,32.608695652173914,0.1404817834277555,75,45.0,66.66666666666666,0.12764219340345145,10,15.0,-33.33333333333333,0.08013462617196891,JAMAICA
PORT-AU-PRINCE,1509255.3800000001,95588.87,1478.9028367005492,0.03688594868544963,138.0,14.25,868.421052631579,0.1359927470534905,17,8.0,112.5,0.039150660955276126,77,7.0,1000.0,0.1310459852275435,0,1.0,-100.0,0.0,HAITI
BOSTON - MA,1467671.92,1058970.3,38.594247638484276,0.03586965588831979,143.0,95.0,50.526315789473685,0.14092002049745753,42,26.0,61.53846153846154,0.09672516236009396,72,48.0,50.0,0.12253650566731338,0,0.0,0.0,0.0,USA
DAKAR,1458355.99,1114962.5,30.79865825083803,0.03564197611954718,105.0,89.0,17.97752808988764,0.10347274232330797,26,16.0,62.5,0.059877481461010545,53,41.0,29.268292682926827,0.09020048333843902,0,0.0,0.0,0.0,SENEGAL
FUZHOU,1415949.75,669458.6,111.50669361779804,0.034605574717033794,85.0,46.25,83.78378378378379,0.08376364854743978,30,23.0,30.434782608695656,0.0690894016857814,60,33.0,81.81818181818183,0.10211375472276116,0,0.0,0.0,0.0,CHINA
SAN ANTONIO,1403544.85,660001.34,112.65787884612479,0.03430240103886666,89.0,74.5,19.463087248322147,0.08770546730261342,32,30.0,6.666666666666667,0.07369536179816683,68,40.0,70.0,0.11572892201912931,0,0.0,0.0,0.0,CHILE
TUTICORIN,1400330.88,1728636.76,-18.992184338368467,0.034223852150409774,164.0,197.25,-16.856780735107733,0.16161456896211912,56,56.0,0.0,0.12896688314679194,75,91.0,-17.582417582417584,0.12764219340345145,0,0.0,0.0,0.0,INDIA
VITORIA,1392777.0,829120.0,67.98255982246238,0.034039236588492054,122.0,67.0,82.08955223880598,0.12022547203279592,17,9.0,88.88888888888889,0.039150660955276126,51,31.0,64.51612903225806,0.08679669151434699,0,0.0,0.0,0.0,BRAZIL
ENNORE,1362729.23,538063.09,153.26569603575672,0.03330487412272288,168.75,69.25,143.68231046931407,0.16629547873388784,74,24.0,208.33333333333334,0.17042052415826078,85,33.0,157.57575757575756,0.14466115252391162,0,0.0,0.0,0.0,INDIA
NAVEGANTES,1250628.35,7657867.65,-83.66871292167083,0.03056514739252978,97.5,620.75,-84.29319371727748,0.09608183215735741,34,280.0,-87.85714285714286,0.07830132191055225,53,290.0,-81.72413793103448,0.09020048333843902,0,0.0,0.0,0.0,BRAZIL
LAEM CHABANG,1209165.28,1047574.88,15.425188507765672,0.02955179690683451,191.0,146.75,30.153321976149915,0.1882218455595412,46,31.0,48.38709677419355,0.10593708258486481,99,71.0,39.436619718309856,0.16848769529255592,0,0.0,0.0,0.0,THAILAND
PISCO,1159400.0,1736182.0,-33.22128670842112,0.028335541799367515,106.0,136.0,-22.058823529411764,0.10445819701210138,41,64.0,-35.9375,0.09442218230390124,41,64.0,-35.9375,0.0697777323938868,0,0.0,0.0,0.0,PERU
SHANTOU,1159317.23,727866.54,59.27607140726649,0.028333518914431567,162.0,109.5,47.94520547945205,0.1596436595845323,56,33.0,69.6969696969697,0.12896688314679194,85,54.0,57.407407407407405,0.14466115252391162,0,0.0,0.0,0.0,CHINA
VIGO,1148277.06,187720.44,511.695274100146,0.02806369900887083,106.5,17.0,526.4705882352941,0.10495092435649808,22,9.0,144.44444444444443,0.0506655612362397,53,9.0,488.8888888888889,0.09020048333843902,0,0.0,0.0,0.0,SPAIN
GAOMING,1132206.12,181450.0,523.9769192615047,0.02767092792716898,41.0,7.0,485.71428571428567,0.04040364224052978,7,3.0,133.33333333333331,0.016120860393348993,41,7.0,485.71428571428567,0.0697777323938868,0,0.0,0.0,0.0,CHINA
CHONGQING,1128124.89,386691.3,191.73785135584893,0.027571183349578983,222.0,58.5,279.48717948717945,0.21877094091213686,76,24.0,216.66666666666666,0.1750264842706462,78,21.0,271.42857142857144,0.13274788113958952,17,7.0,142.85714285714286,0.13622886449234714,CHINA
AGADIR,1065458.0,483559.99,120.3362606571317,0.026039615054744277,74.0,34.25,116.05839416058394,0.07292364697071228,22,8.0,175.0,0.0506655612362397,37,17.0,117.64705882352942,0.06297014874570271,0,0.0,0.0,0.0,MOROCCO
SAN JUAN - PR,1032212.58,96010.2,975.1072073592181,0.025227102558584596,70.5,14.5,386.2068965517241,0.06947455555993536,19,7.0,171.42857142857142,0.04375662106766155,59,9.0,555.5555555555555,0.10041185881071513,0,0.0,0.0,0.0,PUERTO RICO
GEORGETOWN,989300.0,6225628.0,-84.10923363875902,0.024178326291283664,39.0,271.0,-85.60885608856088,0.038432732862942964,5,27.0,-81.48148148148148,0.011514900280963566,39,236.0,-83.47457627118644,0.06637394056979476,0,0.0,0.0,0.0,GUYANA
BREMERHAVEN,989258.59,868823.37,13.86187620620748,0.02417731423781988,77.0,74.0,4.054054054054054,0.07588001103709252,37,36.0,2.7777777777777777,0.08521026207913039,41,37.0,10.81081081081081,0.0697777323938868,0,0.0,0.0,0.0,GERMANY
POINT LISAS,909984.49,16813300.18,-94.58771044198416,0.022239868512309066,64.0,51.5,24.271844660194176,0.06306910008277819,39,21.0,85.71428571428571,0.08981622219151582,50,29.0,72.41379310344827,0.08509479560230097,0,5.0,-100.0,0.0,TRINIDAD AND TOBAGO
